src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:41,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,16384,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.46.26.167,192.168.0.114,1863,3331,6,2006-12-29 02:27:41,98754.0,2,0,124,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,1255.6453409482149,20.252344208842175,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,20.252344208842175,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124,0,0,16384,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:41,98792.0,3,0,178,0,62.0,54.0,59.333333333333336,3.7712361663282534,0.0,0.0,0.0,0.0,1801.7653251275406,30.36683132237428,0.0,0.0,0.0,0.0,98792,49396.0,49358.0,98754.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,30.36683132237428,0.0,54,62,59.333333333333336,3.7712361663282534,14.222222222222223,1,0,0,0,0,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,178,0,0,17424,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:41,98991.0,4,0,292,0,114.0,54.0,73.0,23.895606290697042,0.0,0.0,0.0,0.0,2949.7631097776566,40.40771383257064,0.0,0.0,0.0,0.0,98991,32997.0,46497.26706664239,98754.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,40.40771383257064,0.0,54,114,73.0,23.895606290697042,571.0,1,0,0,0,0,0,0,0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,292,0,0,17424,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.46.26.167,192.168.0.114,1863,3331,6,2006-12-29 02:27:42,199817.0,5,0,387,0,114.0,54.0,77.4,23.113632341109867,0.0,0.0,0.0,0.0,1936.7721465140605,25.022895949794062,0.0,0.0,0.0,0.0,199817,49954.25,49841.16638068877,100826.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,25.022895949794062,0.0,54,114,77.4,23.113632341109867,534.24,1,0,0,0,0,0,0,0,0.0,77.4,77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,387,0,0,65475,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:42,199942.0,6,0,474,0,114.0,54.0,79.0,21.400934559032695,0.0,0.0,0.0,0.0,2370.687499374819,30.00870252373188,0.0,0.0,0.0,0.0,199942,39988.4,48832.22458418211,100826.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,30.00870252373188,0.0,54,114,79.0,21.400934559032695,458.0,1,0,0,0,0,0,0,0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,474,0,0,17383,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.46.26.167,192.168.0.114,1863,3331,6,2006-12-29 02:27:42,300257.0,7,0,555,0,114.0,54.0,79.28571428571429,19.82577172494922,0.0,0.0,0.0,0.0,1848.416523178477,23.313361553602416,0.0,0.0,0.0,0.0,300257,50042.833333333336,49926.078153661896,100826.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,23.313361553602416,0.0,54,114,79.28571428571429,19.82577172494922,393.06122448979596,1,0,0,0,0,0,0,0,0.0,79.28571428571429,79.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,555,0,0,65442,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:42,442314.0,8,0,609,0,114.0,54.0,76.125,20.343533985028266,0.0,0.0,0.0,0.0,1376.8499301401268,18.08669858968968,0.0,0.0,0.0,0.0,442314,63187.71428571428,56331.634450975835,142057.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,18.08669858968968,0.0,54,114,76.125,20.343533985028266,413.859375,1,0,0,0,0,0,0,0,0.0,76.125,76.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,609,0,0,17356,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.46.26.167,192.168.0.114,1863,3331,6,2006-12-29 02:27:42,510484.00000000006,9,0,711,0,114.0,54.0,79.0,20.83266665599966,0.0,0.0,0.0,0.0,1392.7958564813,17.630327297231645,0.0,0.0,0.0,0.0,510484,63810.5,52719.175299410745,142057.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,17.630327297231645,0.0,54,114,79.0,20.83266665599966,434.0,1,0,0,0,0,0,0,0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,711,0,0,65442,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,207.46.26.167,3331,1863,6,2006-12-29 02:27:42,643498.0,10,0,765,0,114.0,54.0,76.5,21.13882683594338,0.0,0.0,0.0,0.0,1188.814883651542,15.540063838582249,0.0,0.0,0.0,0.0,643498,71499.77777777778,54254.02292462903,142057.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,15.540063838582249,0.0,54,114,76.5,21.13882683594338,446.85,1,0,0,0,0,0,0,0,0.0,76.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,765,0,0,17308,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
